Date,GasPriceOpen,GasPriceClose,GasPriceLow,GasPriceHigh,avgGas,Samples,average_gas_price,EthPriceOpenUSD,EthPriceHighUSD,EthPriceLowUSD,EthPriceCloseUSD,EthPriceAdjustedCloseUSD,EthVolume,TransactionsAmount,BlockSize,DailyEthBurnt,UniqueAddressTotalCount,UniqueAddressReceiveCount,UniqueAddressSentCount
2022-12-28,14.9073,18.441,11.562,78.197,127823.31507185566,1439,30.776825,1212.736572,1213.128906,1185.702148,1189.986084,1189.986084,4991669631,977389,83923,1685.92274673168,379201,314830,173252
2022-12-27,18.128,16.6207,10.8907,120.0,121816.93648936776,1439,41.40985,1226.987061,1230.418091,1205.89563,1212.791626,1212.791626,4091530737,1025274,81374,1565.8121578552,399353,336603,176139
2022-12-26,15.4696,11.8045,9.5,79.6351,114462.89079749824,1439,29.1023,1218.920166,1226.974365,1214.335938,1226.974365,1226.974365,3282098400,937653,79961,1207.45703352369,380056,318917,161794
2022-12-25,14.7567,11.7555,8.9065,62.8296,130663.51472037568,1438,24.562075,1221.171509,1223.517822,1203.719604,1218.962036,1218.962036,3942720070,836424,71780,1126.84118076379,358745,306077,137699
2022-12-24,10.9293,9.8112,9.0,36.4301,165847.48785410295,1438,16.542650000000002,1220.11792,1224.911621,1216.338745,1221.14856,1221.14856,2626153345,911507,72981,1193.55197315982,372729,316944,166540
2022-12-23,11.5217,17.5019,9.0,33.8573,140856.75040458667,1439,17.970225,1218.079346,1226.998779,1215.994873,1220.159424,1220.159424,4835831923,1044772,82427,1423.4547022228,408654,345559,192140
2022-12-22,13.3812,14.0818,9.3894,97.0693,114842.74822158756,1436,33.480425,1213.672607,1221.986816,1187.127808,1218.182129,1218.182129,5297471739,989565,78931,1512.55525356537,396270,332820,178749
2022-12-21,14.5237,14.8629,9.1,47.9872,123996.89577004852,1439,21.618450000000003,1217.586426,1218.192261,1206.440063,1213.599976,1213.599976,4217182733,1029079,84773,1576.42308931691,429494,365547,174557
2022-12-20,13.6615,14.7596,10.0,333.0,118909.07474190425,1439,92.855275,1167.88269,1224.092651,1165.599487,1217.703613,1217.703613,6684951715,992470,83227,1646.60025204558,379756,313226,177927
2022-12-19,15.561,17.1506,10.0,74.0625,118127.6844794996,1439,29.193525,1184.758301,1192.923828,1160.377197,1167.609863,1167.609863,4943628091,994746,75184,1504.40772727746,391646,324469,178121
2022-12-18,17.0545,14.0647,9.1,54.3686,120758.8942354657,1438,23.64695,1188.12854,1194.214478,1176.185791,1184.71521,1184.71521,3350092519,916817,77551,1445.18984194777,340536,281659,147483
2022-12-17,12.5978,20.49,10.0,63.2767,131378.75125760952,1439,26.591124999999998,1168.066772,1189.045044,1165.407837,1188.149536,1188.149536,5077258586,1040618,79974,1435.80658032836,416251,344605,178124
2022-12-16,22.1291,23.2268,10.3518,48.2804,112492.10613731745,1439,25.997025,1266.460571,1278.156982,1162.175659,1168.259399,1168.259399,9297811507,1153272,81815,1896.0713846033,478114,401818,194051
2022-12-15,24.3574,14.5712,11.5778,64.6261,100685.1730978442,1438,28.783125,1309.190796,1311.067139,1262.689331,1266.353882,1266.353882,6032859783,1080176,82820,1826.82100727068,438221,367128,187754
2022-12-14,14.9922,18.3032,10.8058,96.679,108912.45745450752,1442,35.19505,1320.688599,1346.174438,1305.833374,1309.328735,1309.328735,7830915428,1095120,81211,1642.080142781,444237,367874,196430
2022-12-13,12.6006,16.4271,11.22,151.6076,110091.38183376528,1389,47.963825,1274.662476,1341.439331,1258.472412,1320.549194,1320.549194,8812883119,1151038,82501,1887.42300278468,448263,358568,216873
2022-12-12,15.6364,20.8504,11.3555,77.4679,101482.05455766218,1403,31.327550000000002,1263.573486,1275.610352,1243.477783,1274.619019,1274.619019,5151109364,1182001,78245,1729.79093733237,559293,489717,194429
2022-12-11,14.479,13.3775,11.0,67.9089,110020.70763736044,1432,26.69135,1266.417847,1281.783203,1260.663696,1263.86853,1263.86853,3362005848,1068092,70985,1606.54770238181,539018,461976,194992
2022-12-10,14.9409,12.9526,11.51,65.3696,128272.00675344485,1437,26.193275,1264.375488,1279.527954,1262.119873,1266.384155,1266.384155,3282499999,1103199,71449,1597.11399888722,568888,504388,185724
2022-12-09,13.6361,14.1052,11.5,78.7713,119664.67307292976,1437,29.503149999999998,1281.077271,1290.05542,1260.818726,1264.28479,1264.28479,5706183865,1932711,81863,3268.51769486613,1420187,1356170,170138
2022-12-08,16.4602,13.3519,11.5746,238.5863,82752.11199094722,1436,69.99325,1232.451782,1286.229736,1226.358521,1281.116333,1281.116333,6227269815,923887,71555,1582.77844820879,378257,308569,177637
2022-12-07,14.4607,16.4241,11.6,59.479,139048.9048360781,1433,25.490949999999998,1271.553101,1272.694092,1224.447998,1232.4375,1232.4375,5752205180,972121,77858,1603.38237285246,381201,311020,178365
2022-12-06,14.2716,13.8379,11.4002,1000.0,124698.45653511828,1438,259.877425,1259.854248,1271.923218,1247.629883,1271.653809,1271.653809,5089212680,1049066,75964,1548.35235483697,418891,349698,193568
2022-12-05,13.8915,13.4093,10.2519,75.8385,117836.1904517872,1427,28.3478,1279.998901,1302.237549,1252.472412,1259.676758,1259.676758,6120359523,1008205,74650,1414.29660239639,416369,347551,184523
2022-12-04,15.0503,11.5873,9.901,45.0,116033.5802661256,1417,20.38465,1243.219238,1281.49231,1242.911743,1280.256592,1280.256592,5174128454,962172,69496,1185.0460400275,451218,390300,170190
2022-12-03,12.3209,11.7497,9.0,21.3014,123555.64195831605,1437,13.593,1294.456543,1299.840332,1241.431885,1243.334839,1243.334839,5672609405,963761,70443,1202.20263116804,427041,364839,163493
2022-12-02,10.9899,11.8322,9.1471,37.6512,127663.79813604165,1440,17.4051,1276.328613,1294.303345,1269.243164,1294.303345,1294.303345,6213645709,1032952,74826,1265.42686492604,446511,379440,184354
2022-12-01,12.4681,12.4034,9.1996,40.0052,122804.04824190398,1439,18.519075,1295.769531,1295.999878,1267.708496,1276.273926,1276.273926,6857935276,984139,76578,1305.33889818379,385929,313110,184325
2022-11-30,11.2671,19.4254,9.4367,55.9893,117828.95553513504,1443,24.029625,1216.928711,1302.038696,1215.497925,1295.688599,1295.688599,9836925304,1026508,78335,1272.01514588339,413369,334653,191938
2022-11-29,13.8922,10.8729,9.0,53.2596,113592.57253717862,1439,21.756175,1169.87439,1222.164185,1163.477539,1216.901245,1216.901245,7639405818,1047387,76431,1163.0187228195,456786,377103,192507
2022-11-28,9.7454,11.4895,8.5885,45.0,121329.49095510178,1421,18.705849999999998,1194.960327,1198.737671,1156.0625,1170.086182,1170.086182,7275411870,1087721,73284,1422.06503600836,496442,425127,191467
2022-11-27,11.8523,9.994,8.1,90.2578,117908.96054937426,1438,30.051025000000003,1205.905273,1220.349487,1195.039063,1195.126953,1195.126953,4486976868,881336,68460,1033.03837518468,389265,329074,159418
2022-11-26,10.7277,11.0,8.0,40.8755,148550.90393606658,1439,17.6508,1198.790527,1227.038086,1198.0979,1205.897949,1205.897949,5074160558,934988,71240,1056.73735060351,420037,358948,176690
2022-11-25,9.9659,10.2864,8.1,30.3265,146331.14279471862,1439,14.669699999999999,1203.799438,1203.799438,1174.823364,1198.925903,1198.925903,5483308196,999123,68250,1107.95199506953,457115,388940,207383
2022-11-24,10.9092,12.1585,8.0,70.0,133162.6750685894,1439,25.266925,1183.345093,1211.627441,1180.379761,1203.983154,1203.983154,9706372376,990202,70351,1217.45024052771,455451,367624,221234
2022-11-23,12.4796,12.2598,9.6285,55.8627,129037.18547922172,1439,22.55765,1135.421509,1184.997314,1130.022827,1183.199585,1183.199585,11242676044,972566,76099,1344.91397033662,412435,334855,195961
2022-11-22,11.8842,12.1146,10.0,34.4763,130138.94732522553,1439,17.118775,1107.895996,1136.442627,1081.138184,1135.173462,1135.173462,12040670755,962924,77279,1504.07175203826,380101,303107,191251
2022-11-21,12.5551,12.2238,8.7866,47.9271,120564.21774770816,1440,20.373150000000003,1142.395752,1142.395752,1084.8573,1108.353027,1108.353027,14080099208,963954,77331,1299.32536524671,377691,298436,187797
2022-11-20,12.3193,10.523,8.4349,122.3596,124844.402072361,1440,38.4092,1218.436279,1224.077759,1137.933228,1142.466675,1142.466675,9651002684,927233,74489,1220.15551901069,366042,296164,184679
2022-11-19,11.61,12.3132,9.4189,33.6488,133037.8013374565,1439,16.747725000000003,1212.215454,1227.83728,1200.475586,1218.426758,1218.426758,5978745776,911890,69391,1238.31820566005,388222,321762,179560
